states,x,y
Andhra Pradesh,-61,-181
Arunachal Pradesh,248,155
Assam,213,97
Bihar,75,71
Chhattisgarh,-2,-31
Goa,-182,-169
Gujarat,-235,2
Haryana,-118,150
Himachal Pradesh,-101,216
Jharkhand,64,14
Karnataka,-143,-195
Kerala,-127,-290
Madhya Pradesh,-92,13
Maharashtra,-157,-78
Manipur,241,59
Meghalaya,180,75
Mizoram,220,30
Nagaland,248,96
Odisha,60,-46
Punjab,-137,193
Rajasthan,-179,94
Sikkim,126,116
Tamil Nadu,-80,-275
Telangana,-67,-106
Tripura,194,34
Uttar Pradesh,-34,94
Uttarakhand,-59,179
West Bengal,123,5
